White,Gulfport,Southeast,Gulfport Police Department,Gunshot,yes
Hispanic/Latino,San Manuel,Southwest,Pinal County Sheriff s Office,Gunshot,No
Hispanic/Latino,Evans,West,Evans Police Department,Gunshot,yes
White,San Francisco,West,San Francisco Police Department,Gunshot,yes
White,Bakersfield,West,Bakersfield Police Department,Gunshot,yes
Black,Fort Pierce,Southeast,Saint Lucie County Sheriff s Office,Gunshot,yes
White,Hemet,West,Riverside County Sheriff s Department,Gunshot,yes
White,Glenwood Springs,West,Garfield County Sheriff s Office,Gunshot,yes
White,Munroe Falls,Midwest,Kent Police Department,Gunshot,No
Unknown,Tehachapi,West,Tehachapi Police Department,Gunshot,yes
White,Pasco,West,Franklin County Corrections Division,Death in custody,yes
Black,Jacksonville,Southeast,Jacksonville Sheriff s Office,Gunshot,yes
White,Penrose,Southeast,North Carolina Alcohol Law Enforcement  Transylvania County Sheriff s Office  Homeland Security,Gunshot,yes
White,Guthrie,Southwest,Oklahoma State Police,Gunshot,yes
Hispanic/Latino,Santa Ana,West,Santa Ana Police Department,Gunshot,No
White,Rockford,Midwest,Rockford Police Department,Gunshot,yes
White,Pineville,Southeast,Rapides Parish Sheriff s Office,Gunshot,No
Unknown,Tuscon ,Southwest,Tucson Police Department,Gunshot,yes
White,Harmony,Midwest,Clay County Sheriff s Department,Gunshot,No
Asian/Pacific Islander,Stockton,West,Stockton Police Department and San Joaquin County Sheriff s Office,Gunshot,yes
Asian/Pacific Islander,Boulder,West,Boulder County Sheriff s Office,Gunshot,yes
White,Fontana,West,Fontana Police Department,Gunshot,yes
Black,Jacksonville,Southeast,Jacksonville Police Department,Gunshot,yes
Hispanic/Latino,Houston,Southwest,Houston Police Department,Gunshot,No
Hispanic/Latino,Electra,Southwest,Wichita County Sheriff s Office,Taser,Unknown
White,Shawnee,Southwest,Pottawatomie County Sheriff s Office,Gunshot,yes
Black,Jennings,Midwest,St Louis County Police Department,Gunshot,yes
Native American,Lukachukai,Southwest,Navajo Police Department,Gunshot,yes
White,Colton,West,Clackamas County Sheriff s Office,Gunshot,yes
Black,Cocoa,Southeast,Brevard County Sheriff s Office,Gunshot,yes
White,Terre Haute ,Midwest,Terre Haute Police Department ,Gunshot,yes
Black,Washington,Southeast,Washington DC Metro Transit Police,Gunshot,yes
Hispanic/Latino,Fort Worth,Southwest,Fort Worth Police Department,Gunshot,yes
White,New York,Northeast,New York Police Department,Gunshot,No
White,Bakersfield,West,Bakersfield Police Department (Swat),Gunshot,yes
White,Gillette,West,Campbell County Sheriff s Office,Gunshot,yes
White,Smyrna,Northeast,Maine State Troopers and Aroostook County Sheriff s Department,Gunshot,yes
White,Eugene,West,Eugene Police Department,Gunshot,yes
Unknown,Long Beach,West,Long Beach Police Department,Gunshot,yes
White,Gettysburg,Northeast,Pennsylvania State Police,Gunshot,yes
White,Mounds,Southwest,Oklahoma Highway Patrol,Gunshot,No
White,Chickasha,Southwest,Grady County Sheriff s Department and Chickasha Police Department,Gunshot,yes
Hispanic/Latino,Houston,Southwest,Houston County Sheriff s Department,Gunshot,No
White,Enfield,Southeast,Enfield Police Department,Taser,yes
White,Syracuse,West,Syracuse Police Department  Davis County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Pueblo,West,Pueblo Police Department,Gunshot,yes
Black,Silver Spring,Southeast,Montgomery County Police Department,Taser,yes
Hispanic/Latino,Kansas City,Midwest,Kansas City KS Police Department and Kansas Highway Patrol,Gunshot,yes
Hispanic/Latino,Wichita,Midwest,Wichita Police Department,Gunshot,yes
Hispanic/Latino,Lakeland,Southeast,Lakeland Police Department,Gunshot,yes
White,Trenton,Midwest,Trenton Police Department,Gunshot,No
Black,Monon,Midwest,Indiana State Police  Tippecanoe County Sheriff s Department,Gunshot,yes
Native American,Phoenix,Southwest,Phoenix Police Department,Gunshot,No
Hispanic/Latino,Mesa,Southwest,Mesa Police Department,Gunshot,yes
Hispanic/Latino,South Gate,West,South Gate Police Department,Gunshot,yes
White,Kansas City,Midwest,US Marshals Service,Gunshot,No
Black,Modesto,West,Ceres Police Department,Gunshot,yes
White,Alpine,West,San Diego County Sheriff s Department,Gunshot,yes
White,Burlington,Midwest,Burlington Police Department,Gunshot,yes
White,Portage,Midwest,Michigan State Police  Kalamazoo County Sheriff s Office and Portage Police Department,Gunshot,yes
White,Cabot,Southeast,Lonoke County Sheriff s Office and Arkansas Department of Community Correction,Gunshot,yes
White,Robinsonville,Southeast,Mississippi Gaming Commission,Gunshot,yes
Black,Birmingham,Southeast,Homewood Police Department,Gunshot,yes
White,Jourdanton,Southwest,Jourdanton Police Department,Gunshot,yes
White,Laredo,Southwest,Laredo Police Department,Gunshot,yes
White,Bay City,Midwest,Bay City Police Department,Gunshot,yes
White,Fort Ashby,Southeast,West Virginia State Police,Gunshot,yes
Hispanic/Latino,Alton,Midwest,Alton Police Department,Gunshot,No
White,Rigby,West,Jefferson County Sheriff Department,Gunshot,No
White,Gaston,Southeast,Gaston County Police Department,Gunshot,yes
Hispanic/Latino,Chandler,Southwest,Chandler Police Department,Gunshot,No
White,Wake Forest,Southeast,Wake Forest Police Department,Gunshot,No
White,Albuquerque,Southeast,Bernalillo County Sheriff s Department,Gunshot,yes
Hispanic/Latino,Long Beach,West,Long Beach Police Department,Gunshot,No
Black,Charleston,Southeast,South Carolina State Law Enforcement Division,Gunshot,No
White,Portland,West,Portland Police Department,Gunshot,yes
White,Phoenix,Southwest,Phoenix Police Department,Gunshot,No
White,San Francisco,West,San Francisco Police Department,Gunshot,yes
White,Tacoma,West,Tacoma Police Department,Gunshot,yes
White,Grand Junction,West,Grand Junction Police Department,Gunshot,yes
Native American,Anchorage,West,Anchorage Corrections Department,Death in custody,yes
Black,Johnsonville,Southeast,Johnsonville Police Department and Florence County Sheriff s Department (Swat),Gunshot,yes
Unknown,England,Southeast,England Police Department,Gunshot,yes
White,Chavies,Southeast,Kentucky State Police,Gunshot,No
White,Clarendon,Northeast,Orleans County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Nashville,Southeast,Metro Nashville Police Department,Gunshot,yes
White,Sylmar,West,Los Angeles Police Department,Gunshot,yes
Unknown,Medford,West,Medford Police Department,Gunshot,yes
White,Fond du Lac,Midwest,Wisconsin State Police,Gunshot,yes
White,Lancaster,Southeast,Lancaster County Sheriff s Department,Gunshot,No
White,Sunset,Southwest,Wise County Sheriff s Department and Texas DPS ,Gunshot,yes
White,Billings,West,Billings Police Department,Gunshot,yes
Black,New Orleans,Southeast,New Orleans Police Department,Gunshot,yes
