raceethnicity,city,region,lawenforcementagency,cause,armed
Black,Landover,Southeast,Prince George s County Sheriff s Office,Gunshot,yes
Black,Fort Meade,Southeast,NSA Police Department,Gunshot,yes
Black,Silver Spring,Southeast,Montgomery County Police Department,Taser,yes
Black,Hagerstown,Southeast,Hagerstown Police Department,Taser,yes
White,Essex,Southeast,Baltimore County Police Department,Gunshot,yes
Black,Elkton,Southeast,Cecil County Sheriff s Office,Gunshot,yes
White,Smyrna,Northeast,Maine State Troopers and Aroostook County Sheriff s Department,Gunshot,yes
Black,Detroit,Midwest,Immigration and Customs Enforcement,Gunshot,yes
White,Portage,Midwest,Michigan State Police  Kalamazoo County Sheriff s Office and Portage Police Department,Gunshot,yes
White,Rockwood,Midwest,Gibraltar Police Department,Taser,yes
White,Bay City,Midwest,Bay City Police Department,Gunshot,yes
Black,Detroit,Midwest,Detroit Police Department,Gunshot,No
White,Trenton,Midwest,Trenton Police Department,Gunshot,No
White,Roxand Township,Midwest,Eaton County Sheriff s Office,Gunshot,yes
White,Wyoming,Midwest,Kentwood Police Department and Wyoming DPS,Gunshot,yes
White,Eaton Rapids Township,Midwest,Eaton County Sheriff s Office,Gunshot,yes
Asian/Pacific Islander,Minneapolis,Midwest,Brooklyn Center Police Department,Taser,yes
White,St Paul,Midwest,St Paul Police Department,Gunshot,yes
White,Bloomington,Midwest,Bloomington Police Department,Gunshot,yes
Black,Fridley,Midwest,Lino Lakes Police Department,Gunshot,No
White,Minneapolis,Midwest,Minneapolis Police Department,Gunshot,yes
Black,St Paul,Midwest,St Paul Police Department,Gunshot,yes
Black,Columbia,Midwest,Boone County Sheriff s Department,Gunshot,yes
Black,St Louis,Midwest,St Louis Metropolitan Police Department,Gunshot,yes
Black,St Louis,Midwest,Wellston Police Department,Gunshot,yes
White,Green Ridge,Midwest,Pettis County Sheriff s Office,Gunshot,yes
Black,Jennings,Midwest,St Louis County Police Department,Gunshot,yes
Black,St Louis,Midwest,St Louis Metropolitan Police Department,Gunshot,No
